phase,epoch,train_loss,train_acc,val_loss,val_acc
1,1,0.8459183042630035,0.6626940231935772,1.3867487893729198,0.4727139543401294
1,2,0.7364352366841339,0.7143621766280107,1.4144462582363837,0.467464290074472
2,1,0.5872481321225094,0.7770205173951829,1.559867577261867,0.5633622268343303
2,2,0.3290610679205138,0.8778947368421053,1.5801121373888833,0.5769747283603955
2,3,0.24126632860364072,0.9110080285459411,1.9332336666397436,0.5137956293492858
2,4,0.1816545260941525,0.9358965209634255,2.0859164348723302,0.5455377853741912
2,5,0.1314712988191104,0.9542194469223907,2.0768057714352737,0.6064583078989134
2,6,0.09330609395404615,0.9694558429973238,2.9582125302374602,0.540654376754975
2,7,0.06888079979212616,0.9790187332738626,3.6843690380732403,0.5954095958979367
2,8,0.04379664485928394,0.9875111507582516,4.933774615411807,0.5758149188133317
