phase,epoch,train_loss,train_acc,val_loss,val_acc
1,1,1.0973195068672446,0.5541123996431757,1.3287432978345628,0.43218166280063486
1,2,0.9903537321048161,0.6034255129348796,1.304672706463357,0.4521425955316811
2,1,0.8593118240341983,0.6535950044603033,1.5034176875144596,0.4495788060065926
2,2,0.7061011682079904,0.7184478144513827,1.4793870703173622,0.4769258942742034
2,3,0.6084806211934783,0.7581266726137378,1.5765167897531451,0.46886827005249665
2,4,0.5382490590318413,0.7870294380017842,1.5854169298565994,0.48510560371139055
2,5,0.4883906984020832,0.8067618198037466,1.5694578282636042,0.5031131729947503
2,6,0.45375425196034264,0.8195361284567351,1.602202898052175,0.505127579050177
2,7,0.42797826900107855,0.8299910793933988,1.6184039424880639,0.5061653033817605
2,8,0.40939601400406844,0.8381623550401427,1.6358867528281098,0.4998168721767794
2,9,0.40254441287451614,0.8412310437109723,1.6353334077853245,0.5025027469173483
2,10,0.39645370333669017,0.8441748438893845,1.6231496947222963,0.5067757294591625
