phase,epoch,train_loss,train_acc,val_loss,val_acc
1,1,0.9165433463769938,0.6242427498202435,1.5421748448369064,0.38999050438474
1,2,0.8767459605770038,0.6424994008115904,1.5177048862576386,0.4001005418086354
2,1,0.4653951206995847,0.8196897443738275,1.5891381182701552,0.5607160811037256
2,2,0.2687808157223592,0.8981214410274635,2.669000613528674,0.48290789253197786
2,3,0.20768274178497503,0.9227005628238717,1.9020077318582504,0.5758811372395688
2,4,0.16182094905267594,0.9409406844797805,2.3847708718664165,0.543484332234821
2,5,0.13060693332503512,0.9538211691198956,2.639911818651059,0.6110986985421438
2,6,0.10425281210635072,0.9645445754853426,2.6249998783216366,0.606155392950902
2,7,0.07763050446187136,0.9750531004900947,3.6912630570414438,0.6131374629950288
2,8,0.05802218097516538,0.982549154111259,4.187622780206071,0.6152320840082668
2,9,0.04415469412883714,0.987239353041811,4.935603752946272,0.6073563089984919
2,10,0.03499472964691582,0.9898468557071662,5.28610841072975,0.615902362732503
