phase,epoch,train_loss,train_acc,val_loss,val_acc
1,1,2.1136999335944333,0.4967809119234361,1.7126902043869368,0.3307266938501927
1,2,1.010218638725974,0.5837004223245205,1.606765567966728,0.3394961738256158
2,1,0.4871080982471246,0.8042637420762498,1.833978765377203,0.5275372842540357
2,2,0.24819809523688552,0.9031546236683554,1.9669480495385725,0.5740937273082724
2,3,0.17420793490251396,0.9344363909849005,2.2584426432052696,0.5917723286600011
2,4,0.13070077242804887,0.9517178111854013,2.6080402246916927,0.5949282243199464
2,5,0.10478785212078899,0.9629040389431143,2.8719919367406095,0.5887840026811149
2,6,0.07961955149598425,0.9725158475003512,3.1015123913022262,0.5735630899849188
2,7,0.06175696812594289,0.9791730373480334,3.1188304959799464,0.6084175836451992
2,8,0.050307793679798936,0.9839996032959495,3.2364995652614694,0.5932804557895325
2,9,0.04063545284377445,0.9870038100118185,3.581533771880283,0.5963804948891247
2,10,0.0349431339318346,0.9886567435556254,3.3057137313006595,0.6106518460593197
