processed_path,new_action
"processed_data\train\B1\DSC02228_patch_3_2.jpg",KEEP
"processed_data\train\B1\DSC02258_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_11_patch_0_3.jpg",KEEP
"processed_data\train\A1\A1.09.Eye-Hos_63_patch_1_5.jpg",KEEP
"processed_data\train\B2\DSC03422_patch_0_1.jpg",KEEP
"processed_data\train\A1\A1.07.Hot-Con_34_patch_3_4.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_100_patch_0_1.jpg",KEEP
"processed_data\train\A1\A1.17.Sai-Uni_91_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.42.BIDV-Bui_11_patch_0_5.jpg",KEEP
"processed_data\val\A1\A1.23.Tru-Vuo_23_patch_0_1.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_245_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.16.LHP-Sch_66_patch_1_5.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_55_patch_3_1.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_52_patch_3_2.jpg",KEEP
"processed_data\train\B1\B1.07.Tho-Nha_175_patch_2_2.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_87_patch_1_2.jpg",KEEP
"processed_data/train/A2/A2.11.Sai-Uni_18_patch_1_3.jpg",KEEP
"processed_data\val\A1\A1.37.Uni-SSH_26_patch_2_0.jpg",KEEP
"processed_data\val\B1\B1.03.Gen-Lib_20_patch_3_0.jpg",KEEP
"processed_data\train\B2\DSC03399_patch_3_2.jpg",KEEP
"processed_data\train\B1\B1.20.PSA-Bui_38_patch_1_3.jpg",KEEP
"processed_data\train\A1\A1.27.Tu-Du_48_patch_2_3.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_47_patch_0_4.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_119_patch_3_4.jpg",KEEP
"processed_data\train\B1\B1.20.PSA-Bui_16_patch_0_2.jpg",KEEP
"processed_data/train/A2/A2.11.Sai-Uni_19_patch_1_2.jpg",KEEP
"processed_data\val\B1\B1.03.Gen-Lib_132_patch_2_2.jpg",KEEP
"processed_data\train\A2\A2.16.Thai-Squ_12_patch_0_1.jpg",KEEP
"processed_data\train\B1\B1.22.SA-Offi_68_patch_2_5.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_166_patch_1_5.jpg",KEEP
"processed_data\val\A2\A2.24.Asi-ana_38_patch_1_3.jpg",KEEP
"processed_data/test/B2/DSC08877_patch_2_4.jpg",KEEP
"processed_data\val\A1\A1.11.LQD-Sch_11_patch_2_5.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_186_patch_1_2.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_151_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_126_patch_0_2.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_193_patch_2_1.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_100_patch_0_2.jpg",KEEP
"processed_data\train\B2\DSC03500_patch_2_5.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_22_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.14.Chi-Hos2_112_patch_1_0.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_133_patch_0_4.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_160_patch_3_0.jpg",KEEP
"processed_data\val\A1\A1.23.Tru-Vuo_75_patch_1_3.jpg",KEEP
"processed_data\val\B1\B1.15.TB-Mar_35_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.17.Sai-Uni_102_patch_2_0.jpg",KEEP
"processed_data\train\B1\DSC02222_patch_0_2.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_361_patch_2_3.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_300_patch_3_2.jpg",KEEP
"processed_data\val\B1\B1.15.TB-Mar_25_patch_2_0.jpg",KEEP
"processed_data\train\A1\A1.33.Sou-Wom_13_patch_2_1.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_79_patch_0_1.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_116_patch_1_1.jpg",KEEP
"processed_data\val\B1\B1.03.Gen-Lib_115_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.09.Eye-Hos_55_patch_1_4.jpg",KEEP
"processed_data\train\A1\A1.30.Pol-Mas_07_patch_3_2.jpg",KEEP
"processed_data\train\A1\A1.14.Chi-Hos2_57_patch_2_4.jpg",KEEP
"processed_data\train\A1\A1.14.Chi-Hos2_146_patch_0_2.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_40_patch_3_2.jpg",KEEP
"processed_data\train\A2\A2.06.VCB-Tow_02_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.36.St-Paul_70_patch_1_1.jpg",KEEP
"processed_data\val\A1\A1.37.Uni-SSH_28_patch_2_5.jpg",KEEP
"processed_data\test\B1\B1.13.VOH-Rad_38_patch_0_1.jpg",KEEP
"processed_data/train/A2/A2.01.Uni-Squa_110_patch_2_3.jpg",KEEP
"processed_data\train\B1\DSC02273_patch_0_3.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_86_patch_1_0.jpg",KEEP
"processed_data\train\A2\A2.05.Pub-Ser_25_patch_1_2.jpg",KEEP
"processed_data/train/A1/DSC02142_patch_3_2.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_209_patch_2_3.jpg",KEEP
"processed_data\train\A1\A1.28.Cam-Mus_29_patch_2_4.jpg",KEEP
"processed_data/train/A1/DSC02527_patch_1_4.jpg",KEEP
"processed_data\train\B1\B1.20.PSA-Bui_15_patch_2_2.jpg",KEEP
"processed_data\train\B2\B2.02.Ven-BTS_10_patch_1_4.jpg",KEEP
"processed_data\val\A1\A1.37.Uni-SSH_07_patch_2_4.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_99_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.43.Sta-Tre_42_patch_1_2.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_362_patch_1_3.jpg",KEEP
"processed_data\train\A1\A1.16.LHP-Sch_64_patch_2_0.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_291_patch_1_5.jpg",KEEP
"processed_data\train\A1\A1.17.Sai-Uni_57_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_37_patch_0_4.jpg",KEEP
"processed_data\train\A2\A2.13.Kei-Uni_06_patch_3_5.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_148_patch_2_4.jpg",KEEP
"processed_data\train\A2\A2.06.VCB-Tow_10_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_67_patch_2_0.jpg",KEEP
"processed_data\train\A1\A1.07.Hot-Con_20_patch_3_3.jpg",KEEP
"processed_data\val\A1\A1.19.TuD-DiB_06_patch_0_3.jpg",KEEP
"processed_data\train\A1\A1.02.Peo-Cou_45_patch_2_5.jpg",KEEP
"processed_data\test\B1\B1.27.HB-The_07_patch_0_5.jpg",KEEP
"processed_data\train\A2\A2.09.Sai-Tra_22_patch_2_5.jpg",KEEP
"processed_data/test/B2/DSC08841_patch_2_4.jpg",KEEP
"processed_data\val\B1\B1.03.Gen-Lib_182_patch_2_4.jpg",KEEP
"processed_data\train\B1\B1.22.SA-Offi_70_patch_2_0.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_27_patch_3_4.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_44_patch_3_0.jpg",KEEP
"processed_data\val\B1\B1.03.Gen-Lib_163_patch_3_1.jpg",KEEP
"processed_data/test/A1/A1.29.Lab-Cul_08_patch_0_5.jpg",KEEP
"processed_data\train\B2\B2.12.SW-Mus_37_patch_0_3.jpg",KEEP
"processed_data\train\B1\DSC02244_patch_1_3.jpg",KEEP
"processed_data/train/A1/A1.38.HBT-Sch_12_patch_2_0.jpg",KEEP
"processed_data/test/A1/A1.08.MCH-Sch_66_patch_3_1.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_115_patch_3_4.jpg",KEEP
"processed_data/train/B1/B1.02.TDN-Sch_80_patch_3_5.jpg",KEEP
"processed_data\train\A1\A1.17.Sai-Uni_73_patch_0_1.jpg",KEEP
"processed_data/train/B2/B2.11.Mil-Zon7_45_patch_1_3.jpg",KEEP
"processed_data\train\B2\DSC03155_patch_3_5.jpg",KEEP
"processed_data\val\B1\B1.03.Gen-Lib_37_patch_3_2.jpg",KEEP
"processed_data\train\A1\A1.01.Peo-com_142_patch_3_3.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_74_patch_1_2.jpg",KEEP
"processed_data\train\A1\A1.32.Sec-Adm_19_patch_0_3.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_89_patch_3_3.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_311_patch_3_1.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_131_patch_1_3.jpg",KEEP
"processed_data\train\B1\DSC04800_patch_1_3.jpg",KEEP
"processed_data\train\A1\A1.16.LHP-Sch_18_patch_1_3.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_169_patch_1_0.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_146_patch_2_4.jpg",KEEP
"processed_data/train/A1/DSC02084_patch_3_5.jpg",KEEP
"processed_data\val\B1\B1.15.TB-Mar_15_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_107_patch_1_2.jpg",KEEP
"processed_data/train/A1/DSC02003_patch_2_5.jpg",KEEP
"processed_data\test\B2\DSC07471_patch_2_0.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_90_patch_2_4.jpg",KEEP
"processed_data\train\A1\A1.02.Peo-Cou_74_patch_3_5.jpg",KEEP
"processed_data\train\B2\DSC03346_patch_1_4.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_69_patch_3_0.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_141_patch_1_2.jpg",KEEP
"processed_data\train\A1\A1.16.LHP-Sch_65_patch_1_2.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_77_patch_1_1.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_24_patch_2_4.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_132_patch_2_0.jpg",KEEP
"processed_data\test\B1\DSC02218_patch_2_5.jpg",KEEP
"processed_data\train\A2\A2.25.Lux-Pal_25_patch_3_1.jpg",KEEP
"processed_data\train\B2\DSC03300_patch_2_3.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_63_patch_1_5.jpg",KEEP
"processed_data\val\A1\A1.23.Tru-Vuo_05_patch_3_5.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_50_patch_2_4.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_161_patch_3_3.jpg",KEEP
"processed_data\train\A1\A1.13.Pas-Ins_12_patch_1_1.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_227_patch_3_0.jpg",KEEP
"processed_data\train\B1\DSC04751_patch_1_1.jpg",KEEP
"processed_data\train\B1\B1.20.PSA-Bui_08_patch_3_1.jpg",KEEP
"processed_data\test\A2\A2.21.Cons-Mus_54_patch_1_2.jpg",KEEP
"processed_data\train\A1\A1.17.Sai-Uni_102_patch_1_5.jpg",KEEP
"processed_data\val\A1\A1.39.Oil-Buid_32_patch_1_5.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_98_patch_2_0.jpg",KEEP
"processed_data/test/A1/A1.08.MCH-Sch_48_patch_0_5.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_03_patch_1_5.jpg",KEEP
"processed_data/train/B1/B1.26.MEK-CPF_25_patch_1_3.jpg",KEEP
"processed_data\train\A2\A2.05.Pub-Ser_02_patch_2_5.jpg",KEEP
"processed_data\val\A2\A2.24.Asi-ana_37_patch_3_5.jpg",KEEP
"processed_data\train\A1\A1.30.Pol-Mas_17_patch_3_0.jpg",KEEP
"processed_data\train\A1\A1.33.Sou-Wom_60_patch_3_1.jpg",KEEP
"processed_data\train\B2\DSC03316_patch_3_2.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_384_patch_2_1.jpg",KEEP
"processed_data/test/B2/DSC02256_patch_1_2.jpg",KEEP
"processed_data\test\B1\B1.27.HB-The_12_patch_2_0.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_32_patch_3_0.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_51_patch_0_2.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_410_patch_1_0.jpg",KEEP
"processed_data\train\A1\A1.04.HCM-Mus_104_patch_0_1.jpg",KEEP
"processed_data/train/B1/B1.26.MEK-CPF_44_patch_1_1.jpg",KEEP
"processed_data/train/B1/B1.14.VAR-Bui_31_patch_1_2.jpg",KEEP
"processed_data/test/B2/DSC08848_patch_2_5.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_132_patch_3_2.jpg",KEEP
"processed_data\train\A1\A1.30.Pol-Mas_17_patch_1_0.jpg",KEEP
"processed_data\test\A1\A1.40.Veg-Oil_56_patch_0_4.jpg",KEEP
"processed_data\test\A2\A2.21.Cons-Mus_33_patch_1_5.jpg",KEEP
"processed_data\train\A1\A1.28.Cam-Mus_18_patch_2_5.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_12_patch_3_5.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_117_patch_3_2.jpg",KEEP
"processed_data/train/B1/B1.14.VAR-Bui_33_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_158_patch_2_2.jpg",KEEP
"processed_data/train/B1/B1.02.TDN-Sch_75_patch_1_3.jpg",KEEP
"processed_data/train/B2/B2.11.Mil-Zon7_52_patch_1_5.jpg",KEEP
"processed_data\val\A1\A1.19.TuD-DiB_23_patch_1_4.jpg",KEEP
"processed_data\train\A1\A1.16.LHP-Sch_07_patch_1_3.jpg",KEEP
"processed_data/test/A1/A1.08.MCH-Sch_02_patch_2_4.jpg",KEEP
"processed_data\train\A1\A1.36.St-Paul_60_patch_1_4.jpg",KEEP
"processed_data\train\A1\A1.13.Pas-Ins_31_patch_0_3.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_348_patch_0_1.jpg",KEEP
"processed_data/train/B2/B2.04.PSA-Bui_20_patch_0_1.jpg",KEEP
"processed_data\test\B1\B1.27.HB-The_26_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_105_patch_2_3.jpg",KEEP
"processed_data/test/A1/A1.08.MCH-Sch_53_patch_1_1.jpg",KEEP
"processed_data\train\B2\DSC03297_patch_2_4.jpg",KEEP
"processed_data\train\A1\A1.17.Sai-Uni_12_patch_3_4.jpg",KEEP
"processed_data/train/A2/A2.01.Uni-Squa_51_patch_0_3.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_58_patch_2_4.jpg",KEEP
"processed_data/train/A2/A2.14.LBM-Tow_12_patch_1_2.jpg",KEEP
"processed_data\train\A1\A1.30.Pol-Mas_07_patch_3_3.jpg",KEEP
"processed_data\test\A2\A2.21.Cons-Mus_39_patch_2_5.jpg",KEEP
"processed_data/train/B1/B1.02.TDN-Sch_81_patch_1_2.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_10_patch_0_0.jpg",KEEP
"processed_data/train/B1/B1.26.MEK-CPF_09_patch_2_1.jpg",KEEP
"processed_data/test/B2/DSC08877_patch_3_3.jpg",KEEP
"processed_data\train\A1\A1.05.Mus-His_66_patch_3_4.jpg",KEEP
"processed_data\train\A1\A1.09.Eye-Hos_19_patch_2_2.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_16_patch_3_2.jpg",KEEP
"processed_data\train\B2\B2.05.SA-Offi_03_patch_0_0.jpg",KEEP
"processed_data/train/A1/A1.38.HBT-Sch_10_patch_1_0.jpg",KEEP
"processed_data/train/A1/DSC02101_patch_2_4.jpg",KEEP
"processed_data/train/A2/A2.23.VCB-TSN_16_patch_0_3.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_05_patch_1_1.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_09_patch_3_5.jpg",KEEP
"processed_data\train\B2\B2.12.SW-Mus_37_patch_3_1.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_147_patch_3_5.jpg",KEEP
"processed_data\train\B1\DSC04685_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_90_patch_0_0.jpg",KEEP
"processed_data/train/B1/B1.14.VAR-Bui_25_patch_2_1.jpg",KEEP
"processed_data\test\A2\A2.21.Cons-Mus_22_patch_2_4.jpg",KEEP
"processed_data/test/B2/DSC02213_patch_3_2.jpg",KEEP
"processed_data\train\B1\B1.22.SA-Offi_89_patch_2_2.jpg",KEEP
"processed_data\train\A1\A1.13.Pas-Ins_42_patch_1_4.jpg",KEEP
"processed_data\train\B2\DSC03411_patch_2_5.jpg",KEEP
"processed_data/train/B2/B2.11.Mil-Zon7_19_patch_2_1.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_132_patch_1_2.jpg",KEEP
"processed_data/train/B1/B1.02.TDN-Sch_93_patch_3_5.jpg",KEEP
"processed_data\train\B2\DSC03485_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.05.Mus-His_41_patch_0_2.jpg",KEEP
"processed_data\train\A1\A1.01.Peo-com_165_patch_1_2.jpg",KEEP
"processed_data\train\B2\DSC03152_patch_1_3.jpg",KEEP
"processed_data\train\A1\A1.43.Sta-Tre_13_patch_3_4.jpg",KEEP
"processed_data\test\B1\B1.19.Apar-Bui_73_patch_1_1.jpg",KEEP
"processed_data\train\B1\DSC04703_patch_1_1.jpg",KEEP
"processed_data\val\A1\A1.19.TuD-DiB_05_patch_0_0.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_205_patch_2_4.jpg",KEEP
"processed_data\train\B2\DSC03434_patch_2_4.jpg",KEEP
"processed_data\train\A1\A1.01.Peo-com_26_patch_0_1.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_177_patch_0_3.jpg",KEEP
"processed_data/test/B2/DSC02098_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.43.Sta-Tre_10_patch_2_0.jpg",KEEP
"processed_data/train/B2/B2.09.Tha-Da_52_patch_3_5.jpg",KEEP
"processed_data\test\B2\DSC07481_patch_2_5.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_297_patch_2_0.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_88_patch_1_2.jpg",KEEP
"processed_data\val\A2\A2.24.Asi-ana_30_patch_3_2.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_348_patch_0_2.jpg",KEEP
"processed_data/train/B2/B2.11.Mil-Zon7_57_patch_2_0.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_28_patch_3_4.jpg",KEEP
"processed_data/train/B1/B1.04.UAH-Uni_317_patch_1_2.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_249_patch_2_2.jpg",KEEP
"processed_data\train\A1\A1.16.LHP-Sch_63_patch_2_3.jpg",KEEP
"processed_data/train/B1/B1.26.MEK-CPF_05_patch_2_3.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_63_patch_0_2.jpg",KEEP
"processed_data\train\B1\B1.28.VB-Bui_01_patch_0_0.jpg",KEEP
"processed_data\val\B1\B1.11.TNS-Cen_23_patch_1_3.jpg",KEEP
"processed_data\test\B1\B1.13.VOH-Rad_191_patch_3_1.jpg",KEEP
"processed_data\train\A1\A1.07.Hot-Con_53_patch_2_1.jpg",KEEP
"processed_data\test\A2\A2.17.Dia-Pla_02_patch_3_5.jpg",KEEP
"processed_data\test\B1\DSC02217_patch_3_2.jpg",KEEP
"processed_data/train/A2/A2.23.VCB-TSN_40_patch_0_2.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_12_patch_3_5.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_116_patch_3_1.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_131_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.41.Sto-Exc_28_patch_1_2.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_81_patch_1_2.jpg",KEEP
"processed_data\train\A1\A1.05.Mus-His_42_patch_1_3.jpg",KEEP
"processed_data\train\B1\B1.20.PSA-Bui_65_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.36.St-Paul_31_patch_2_5.jpg",KEEP
"processed_data\train\B2\DSC03338_patch_0_3.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_58_patch_1_1.jpg",KEEP
"processed_data\train\A1\A1.26.Tan-Din_107_patch_1_0.jpg",KEEP
"processed_data\val\A1\A1.11.LQD-Sch_47_patch_3_4.jpg",KEEP
"processed_data\train\A1\A1.28.Cam-Mus_36_patch_1_4.jpg",KEEP
"processed_data\train\A2\A2.16.Thai-Squ_02_patch_0_3.jpg",KEEP
