dup_cluster_id,building_id,style_label,filename,file_path,action
0,A1.01,A1,A1.01.Peo-com_107.JPG,raw_data/A1.01/A1.01.Peo-com_107.JPG,
0,A1.01,A1,A1.01.Peo-com_108.JPG,raw_data/A1.01/A1.01.Peo-com_108.JPG,
1,A1.01,A1,A1.01.Peo-com_165.JPG,raw_data/A1.01/A1.01.Peo-com_165.JPG,
1,A1.01,A1,A1.01.Peo-com_166.JPG,raw_data/A1.01/A1.01.Peo-com_166.JPG,
2,A1.01,A1,A1.01.Peo-com_55.JPG,raw_data/A1.01/A1.01.Peo-com_55.JPG,
2,A1.01,A1,A1.01.Peo-com_56.JPG,raw_data/A1.01/A1.01.Peo-com_56.JPG,
3,A1.01,A1,A1.01.Peo-com_57.JPG,raw_data/A1.01/A1.01.Peo-com_57.JPG,
3,A1.01,A1,A1.01.Peo-com_58.JPG,raw_data/A1.01/A1.01.Peo-com_58.JPG,
4,A1.01,A1,A1.01.Peo-com_61.JPG,raw_data/A1.01/A1.01.Peo-com_61.JPG,
4,A1.01,A1,A1.01.Peo-com_62.JPG,raw_data/A1.01/A1.01.Peo-com_62.JPG,
4,A1.01,A1,A1.01.Peo-com_63.JPG,raw_data/A1.01/A1.01.Peo-com_63.JPG,
5,A1.01,A1,A1.01.Peo-com_64.JPG,raw_data/A1.01/A1.01.Peo-com_64.JPG,
5,A1.01,A1,A1.01.Peo-com_65.JPG,raw_data/A1.01/A1.01.Peo-com_65.JPG,
6,A1.01,A1,A1.01.Peo-com_67.JPG,raw_data/A1.01/A1.01.Peo-com_67.JPG,
6,A1.01,A1,A1.01.Peo-com_68.JPG,raw_data/A1.01/A1.01.Peo-com_68.JPG,
7,A1.02,A1,A1.02.Peo-Cou_34.JPG,raw_data/A1.02/A1.02.Peo-Cou_34.JPG,
7,A1.02,A1,A1.02.Peo-Cou_35.JPG,raw_data/A1.02/A1.02.Peo-Cou_35.JPG,
8,A1.02,A1,A1.02.Peo-Cou_47.JPG,raw_data/A1.02/A1.02.Peo-Cou_47.JPG,
8,A1.02,A1,A1.02.Peo-Cou_48.JPG,raw_data/A1.02/A1.02.Peo-Cou_48.JPG,
9,A1.02,A1,A1.02.Peo-Cou_53.JPG,raw_data/A1.02/A1.02.Peo-Cou_53.JPG,
9,A1.02,A1,A1.02.Peo-Cou_54.JPG,raw_data/A1.02/A1.02.Peo-Cou_54.JPG,
10,A1.02,A1,A1.02.Peo-Cou_56.JPG,raw_data/A1.02/A1.02.Peo-Cou_56.JPG,
10,A1.02,A1,A1.02.Peo-Cou_57.JPG,raw_data/A1.02/A1.02.Peo-Cou_57.JPG,
11,A1.02,A1,A1.02.Peo-Cou_63.JPG,raw_data/A1.02/A1.02.Peo-Cou_63.JPG,
11,A1.02,A1,A1.02.Peo-Cou_64.JPG,raw_data/A1.02/A1.02.Peo-Cou_64.JPG,
12,A1.02,A1,A1.02.Peo-Cou_69.JPG,raw_data/A1.02/A1.02.Peo-Cou_69.JPG,
12,A1.02,A1,A1.02.Peo-Cou_70.JPG,raw_data/A1.02/A1.02.Peo-Cou_70.JPG,
12,A1.02,A1,A1.02.Peo-Cou_73.JPG,raw_data/A1.02/A1.02.Peo-Cou_73.JPG,
13,A1.03,A1,A1.03.Ope-Hou_121.JPG,raw_data/A1.03/A1.03.Ope-Hou_121.JPG,
13,A1.03,A1,A1.03.Ope-Hou_122.JPG,raw_data/A1.03/A1.03.Ope-Hou_122.JPG,
14,A1.03,A1,A1.03.Ope-Hou_125.JPG,raw_data/A1.03/A1.03.Ope-Hou_125.JPG,
14,A1.03,A1,A1.03.Ope-Hou_134.JPG,raw_data/A1.03/A1.03.Ope-Hou_134.JPG,
14,A1.03,A1,A1.03.Ope-Hou_42.JPG,raw_data/A1.03/A1.03.Ope-Hou_42.JPG,
15,A1.03,A1,A1.03.Ope-Hou_143.JPG,raw_data/A1.03/A1.03.Ope-Hou_143.JPG,
15,A1.03,A1,A1.03.Ope-Hou_144.JPG,raw_data/A1.03/A1.03.Ope-Hou_144.JPG,
16,A1.03,A1,A1.03.Ope-Hou_150.JPG,raw_data/A1.03/A1.03.Ope-Hou_150.JPG,
16,A1.03,A1,A1.03.Ope-Hou_61.JPG,raw_data/A1.03/A1.03.Ope-Hou_61.JPG,
17,A1.03,A1,A1.03.Ope-Hou_153.JPG,raw_data/A1.03/A1.03.Ope-Hou_153.JPG,
17,A1.03,A1,A1.03.Ope-Hou_154.JPG,raw_data/A1.03/A1.03.Ope-Hou_154.JPG,
18,A1.03,A1,A1.03.Ope-Hou_155.JPG,raw_data/A1.03/A1.03.Ope-Hou_155.JPG,
18,A1.03,A1,A1.03.Ope-Hou_156.JPG,raw_data/A1.03/A1.03.Ope-Hou_156.JPG,
19,A1.03,A1,A1.03.Ope-Hou_157.JPG,raw_data/A1.03/A1.03.Ope-Hou_157.JPG,
19,A1.03,A1,A1.03.Ope-Hou_158.JPG,raw_data/A1.03/A1.03.Ope-Hou_158.JPG,
20,A1.03,A1,A1.03.Ope-Hou_173.JPG,raw_data/A1.03/A1.03.Ope-Hou_173.JPG,
20,A1.03,A1,A1.03.Ope-Hou_174.JPG,raw_data/A1.03/A1.03.Ope-Hou_174.JPG,
21,A1.03,A1,A1.03.Ope-Hou_176.JPG,raw_data/A1.03/A1.03.Ope-Hou_176.JPG,
21,A1.03,A1,A1.03.Ope-Hou_177.JPG,raw_data/A1.03/A1.03.Ope-Hou_177.JPG,
22,A1.03,A1,A1.03.Ope-Hou_211.JPG,raw_data/A1.03/A1.03.Ope-Hou_211.JPG,
22,A1.03,A1,A1.03.Ope-Hou_212.JPG,raw_data/A1.03/A1.03.Ope-Hou_212.JPG,
23,A1.03,A1,A1.03.Ope-Hou_218.JPG,raw_data/A1.03/A1.03.Ope-Hou_218.JPG,
23,A1.03,A1,A1.03.Ope-Hou_219.JPG,raw_data/A1.03/A1.03.Ope-Hou_219.JPG,
24,A1.03,A1,A1.03.Ope-Hou_221.JPG,raw_data/A1.03/A1.03.Ope-Hou_221.JPG,
24,A1.03,A1,A1.03.Ope-Hou_222.JPG,raw_data/A1.03/A1.03.Ope-Hou_222.JPG,
25,A1.03,A1,A1.03.Ope-Hou_227.JPG,raw_data/A1.03/A1.03.Ope-Hou_227.JPG,
25,A1.03,A1,A1.03.Ope-Hou_228.JPG,raw_data/A1.03/A1.03.Ope-Hou_228.JPG,
26,A1.03,A1,A1.03.Ope-Hou_231.JPG,raw_data/A1.03/A1.03.Ope-Hou_231.JPG,
26,A1.03,A1,A1.03.Ope-Hou_232.JPG,raw_data/A1.03/A1.03.Ope-Hou_232.JPG,
27,A1.03,A1,A1.03.Ope-Hou_235.JPG,raw_data/A1.03/A1.03.Ope-Hou_235.JPG,
27,A1.03,A1,A1.03.Ope-Hou_236.JPG,raw_data/A1.03/A1.03.Ope-Hou_236.JPG,
28,A1.03,A1,A1.03.Ope-Hou_247.JPG,raw_data/A1.03/A1.03.Ope-Hou_247.JPG,
28,A1.03,A1,A1.03.Ope-Hou_248.JPG,raw_data/A1.03/A1.03.Ope-Hou_248.JPG,
29,A1.03,A1,A1.03.Ope-Hou_265.JPG,raw_data/A1.03/A1.03.Ope-Hou_265.JPG,
29,A1.03,A1,A1.03.Ope-Hou_266.JPG,raw_data/A1.03/A1.03.Ope-Hou_266.JPG,
30,A1.03,A1,A1.03.Ope-Hou_66.JPG,raw_data/A1.03/A1.03.Ope-Hou_66.JPG,
30,A1.03,A1,A1.03.Ope-Hou_67.JPG,raw_data/A1.03/A1.03.Ope-Hou_67.JPG,
31,A1.03,A1,A1.03.Ope-Hou_71.JPG,raw_data/A1.03/A1.03.Ope-Hou_71.JPG,
