building_id,style_label,filename,file_path,outlier_score,action
A1.44,A1,A1.44.Nor-Pal_38.jpg,raw_data/A1.44/A1.44.Nor-Pal_38.jpg,1.0424247980117798,REMOVE
A1.24,A1,A1.24.Indo-Ban_265.JPG,raw_data/A1.24/A1.24.Indo-Ban_265.JPG,1.0387767553329468,REMOVE
A1.44,A1,A1.44.Nor-Pal_83.jpg,raw_data/A1.44/A1.44.Nor-Pal_83.jpg,1.0149236917495728,REMOVE
A1.44,A1,A1.44.Nor-Pal_29.jpg,raw_data/A1.44/A1.44.Nor-Pal_29.jpg,0.991940438747406,REMOVE
A1.44,A1,A1.44.Nor-Pal_48.jpg,raw_data/A1.44/A1.44.Nor-Pal_48.jpg,0.9880988001823424,REMOVE
A1.10,A1,A1.10.Fin-Art_57.jpg,raw_data/A1.10/A1.10.Fin-Art_57.jpg,0.984283447265625,REMOVE
A1.13,A1,phong-thi-nghiem-vien-pasteur-1754380901-1754381189.jpg.webp,raw_data/HistoricVietnam-OldPics/A1.13/phong-thi-nghiem-vien-pasteur-1754380901-1754381189.jpg.webp,0.9836745262145996,REMOVE
A1.34,A1,pe2OW6Bh.jpg,raw_data/HistoricVietnam-OldPics/A1.34/pe2OW6Bh.jpg,0.9767816662788392,REMOVE
A1.44,A1,A1.44.Nor-Pal_42.jpg,raw_data/A1.44/A1.44.Nor-Pal_42.jpg,0.9757798314094543,REMOVE
A1.05,A1,A1.05.Mus-His_11.jpg,raw_data/A1.05/A1.05.Mus-His_11.jpg,0.9698391556739808,REMOVE
A1.24,A1,A1.24.Indo-Ban_268.JPG,raw_data/A1.24/A1.24.Indo-Ban_268.JPG,0.9687549471855164,REMOVE
A1.03,A1,2.1-1024x671.jpg,raw_data/HistoricVietnam-OldPics/A1.03/2.1-1024x671.jpg,0.9667070508003236,REMOVE
A1.44,A1,A1.44.Nor-Pal_32.jpg,raw_data/A1.44/A1.44.Nor-Pal_32.jpg,0.9653651118278505,REMOVE
A1.24,A1,A1.24.Indo-Ban_247.JPG,raw_data/A1.24/A1.24.Indo-Ban_247.JPG,0.9652956128120422,REMOVE
A1.09,A1,A1.09.Eye-Hos_18.JPG,raw_data/A1.09/A1.09.Eye-Hos_18.JPG,0.9643926024436952,REMOVE
A1.44,A1,A1.44.Nor-Pal_34.jpg,raw_data/A1.44/A1.44.Nor-Pal_34.jpg,0.9613308906555176,REMOVE
A1.05,A1,A1.05.Mus-His_05.jpg,raw_data/A1.05/A1.05.Mus-His_05.jpg,0.9575053453445436,REMOVE
A1.05,A1,A1.05.Mus-His_12.jpg,raw_data/A1.05/A1.05.Mus-His_12.jpg,0.9574199318885804,REMOVE
A1.44,A1,A1.44.Nor-Pal_28.jpg,raw_data/A1.44/A1.44.Nor-Pal_28.jpg,0.9547851085662842,REMOVE
A1.44,A1,A1.44.Nor-Pal_46.jpg,raw_data/A1.44/A1.44.Nor-Pal_46.jpg,0.9536756873130798,REMOVE
A1.44,A1,A1.44.Nor-Pal_33.jpg,raw_data/A1.44/A1.44.Nor-Pal_33.jpg,0.9536139965057372,REMOVE
A1.44,A1,A1.44.Nor-Pal_61.jpg,raw_data/A1.44/A1.44.Nor-Pal_61.jpg,0.9518107175827026,REMOVE
A1.44,A1,A1.44.Nor-Pal_22.jpg,raw_data/A1.44/A1.44.Nor-Pal_22.jpg,0.9496657848358154,REMOVE
A1.44,A1,A1.44.Nor-Pal_24.jpg,raw_data/A1.44/A1.44.Nor-Pal_24.jpg,0.9485570192337036,REMOVE
A1.24,A1,A1.24.Indo-Ban_248.JPG,raw_data/A1.24/A1.24.Indo-Ban_248.JPG,0.9483107328414916,REMOVE
A1.44,A1,A1.44.Nor-Pal_36.jpg,raw_data/A1.44/A1.44.Nor-Pal_36.jpg,0.9470057487487792,REMOVE
A1.44,A1,A1.44.Nor-Pal_65.jpg,raw_data/A1.44/A1.44.Nor-Pal_65.jpg,0.9461219906806946,REMOVE
A1.44,A1,A1.44.Nor-Pal_81.jpg,raw_data/A1.44/A1.44.Nor-Pal_81.jpg,0.9433629512786864,KEEP
A1.26,A1,A1.26.Tan-Din_26.JPG,raw_data/A1.26/A1.26.Tan-Din_26.JPG,0.9424198269844056,REMOVE
A1.44,A1,A1.44.Nor-Pal_64.jpg,raw_data/A1.44/A1.44.Nor-Pal_64.jpg,0.9421030282974244,REMOVE
A1.44,A1,A1.44.Nor-Pal_79.jpg,raw_data/A1.44/A1.44.Nor-Pal_79.jpg,0.9379763603210448,REMOVE
A1.24,A1,A1.24.Indo-Ban_266.JPG,raw_data/A1.24/A1.24.Indo-Ban_266.JPG,0.937558889389038,REMOVE
A1.24,A1,A1.24.Indo-Ban_263.JPG,raw_data/A1.24/A1.24.Indo-Ban_263.JPG,0.9364996552467346,REMOVE
A1.44,A1,A1.44.Nor-Pal_55.jpg,raw_data/A1.44/A1.44.Nor-Pal_55.jpg,0.9355977773666382,REMOVE
A1.12,A1,A1.12.Chi-Hou_102.JPG,raw_data/A1.12/A1.12.Chi-Hou_102.JPG,0.935186803340912,REMOVE
A1.44,A1,A1.44.Nor-Pal_17.jpg,raw_data/A1.44/A1.44.Nor-Pal_17.jpg,0.9343871474266052,REMOVE
A1.44,A1,A1.44.Nor-Pal_50.jpg,raw_data/A1.44/A1.44.Nor-Pal_50.jpg,0.9327957630157472,REMOVE
A1.44,A1,A1.44.Nor-Pal_12.jpg,raw_data/A1.44/A1.44.Nor-Pal_12.jpg,0.932301700115204,REMOVE
A1.26,A1,A1.26.Tan-Din_27.JPG,raw_data/A1.26/A1.26.Tan-Din_27.JPG,0.9305566549301147,KEEP
A1.44,A1,A1.44.Nor-Pal_13.jpg,raw_data/A1.44/A1.44.Nor-Pal_13.jpg,0.9296822547912598,REMOVE
A1.08,A1,BfyCb0Gh.jpg,raw_data/HistoricVietnam-OldPics/A1.08/BfyCb0Gh.jpg,0.9277641177177428,REMOVE
A1.44,A1,A1.44.Nor-Pal_74.jpg,raw_data/A1.44/A1.44.Nor-Pal_74.jpg,0.9276711344718932,KEEP
A1.10,A1,A1.10.Fin-Art_39.jpg,raw_data/A1.10/A1.10.Fin-Art_39.jpg,0.9266477227211,REMOVE
A1.08,A1,cSzz4K5h.jpg,raw_data/HistoricVietnam-OldPics/A1.08/cSzz4K5h.jpg,0.9250919818878174,REMOVE
A1.44,A1,A1.44.Nor-Pal_31.jpg,raw_data/A1.44/A1.44.Nor-Pal_31.jpg,0.9231892824172974,REMOVE
A1.44,A1,A1.44.Nor-Pal_66.jpg,raw_data/A1.44/A1.44.Nor-Pal_66.jpg,0.9226368069648744,REMOVE
A1.05,A1,A1.05.Mus-His_07.jpg,raw_data/A1.05/A1.05.Mus-His_07.jpg,0.922335147857666,REMOVE
A1.10,A1,A1.10.Fin-Art_06.jpg,raw_data/A1.10/A1.10.Fin-Art_06.jpg,0.9207468628883362,REMOVE
